,open,high,low,close,volume,timestamp
0,42313.9,42535.0,42289.6,42532.5,3531.294999999999,1704067200
1,42532.4,42603.2,42449.1,42458.5,2245.947,1704068100
2,42458.1,42485.7,42386.2,42474.5,1684.2170000000003,1704069000
3,42474.5,42527.2,42449.1,42503.5,827.66,1704069900
4,42503.5,42510.4,42462.0,42497.6,850.2740000000001,1704070800
5,42497.6,42554.9,42497.5,42524.8,826.4200000000001,1704071700
6,42524.9,42832.0,42524.8,42734.3,5389.020999999999,1704072600
7,42734.2,42750.0,42642.5,42647.9,1977.696,1704073500
8,42643.7,42676.9,42578.0,42593.7,1562.4159999999997,1704074400
9,42593.6,42609.4,42562.3,42576.6,696.2060000000001,1704075300
10,42567.6,42647.6,42567.5,42576.2,898.276,1704076200
11,42576.2,42630.0,42530.4,42624.0,601.5200000000001,1704077100
12,42617.8,42630.0,42534.8,42544.2,981.238,1704078000
13,42544.2,42544.3,42449.0,42466.9,1199.521,1704078900
14,42466.9,42493.0,42270.0,42331.9,2804.059,1704079800
15,42331.9,42391.5,42287.9,42369.8,1720.6029999999998,1704080700
16,42369.8,42414.2,42307.8,42324.6,1803.65,1704081600
17,42324.6,42353.3,42235.2,42342.9,2449.938,1704082500
18,42342.8,42381.0,42316.5,42347.3,1053.926,1704083400
19,42347.4,42439.8,42335.2,42436.6,1023.857,1704084300
20,42436.6,42440.0,42351.9,42389.3,1075.088,1704085200
21,42389.4,42398.5,42325.4,42326.3,771.946,1704086100
22,42326.2,42358.1,42304.0,42335.7,780.1519999999999,1704087000
23,42335.8,42335.8,42207.9,42272.6,1512.371,1704087900
24,42272.6,42337.8,42239.1,42308.2,1090.351,1704088800
25,42308.3,42382.3,42298.1,42349.6,964.646,1704089700
26,42349.1,42418.7,42337.6,42405.9,829.8460000000001,1704090600
27,42405.9,42461.3,42397.9,42423.3,998.7200000000004,1704091500
28,42423.4,42517.0,42421.7,42482.2,1937.956,1704092400
29,42482.2,42536.0,42463.1,42524.9,992.8590000000004,1704093300
30,42524.9,42535.9,42475.4,42475.4,837.5579999999999,1704094200
31,42475.4,42532.0,42461.3,42527.0,686.677,1704095100
32,42527.1,42570.0,42489.4,42551.9,1281.557,1704096000
33,42551.9,42577.0,42512.5,42519.9,545.8870000000001,1704096900
34,42520.0,42543.3,42500.0,42530.4,482.081,1704097800
35,42530.5,42595.0,42526.2,42586.9,732.5600000000001,1704098700
36,42588.2,42615.8,42579.2,42609.0,629.5649999999999,1704099600
37,42609.1,42700.0,42609.0,42622.9,1247.276,1704100500
38,42622.9,42732.4,42622.9,42675.2,1332.0629999999996,1704101400
39,42675.5,42730.0,42658.6,42688.8,942.234,1704102300
40,42688.7,42735.1,42683.0,42700.0,1166.173,1704103200
41,42700.1,42750.0,42661.1,42703.7,1655.9229999999995,1704104100
42,42703.7,42761.2,42699.9,42755.8,1243.2340000000002,1704105000
43,42755.8,42795.0,42727.2,42727.7,1705.4130000000002,1704105900
44,42727.7,42800.0,42722.1,42730.0,1829.5699999999997,1704106800
45,42730.0,42758.7,42686.8,42715.0,1556.9599999999998,1704107700
46,42714.0,42724.9,42638.0,42647.2,1477.193,1704108600
47,42647.3,42743.7,42643.8,42727.6,957.169,1704109500
48,42727.7,42777.7,42651.1,42669.0,1701.0619999999992,1704110400
49,42669.0,42749.9,42667.5,42724.1,1100.6170000000002,1704111300
50,42724.1,42825.2,42706.5,42789.9,2168.6549999999997,1704112200
51,42789.8,42795.8,42681.5,42682.0,1359.143,1704113100
52,42681.9,42744.4,42647.9,42742.6,1218.656,1704114000
53,42742.6,42770.0,42727.0,42752.7,611.131,1704114900
54,42752.7,42777.1,42701.4,42777.1,728.5110000000001,1704115800
55,42777.1,42787.5,42740.3,42759.0,724.3090000000002,1704116700
56,42750.1,42755.8,42632.0,42686.3,1664.0199999999993,1704117600
57,42686.2,42700.3,42615.0,42658.3,1454.1309999999996,1704118500
58,42658.3,42700.0,42625.4,42677.2,913.0870000000002,1704119400
59,42677.3,42696.8,42614.5,42645.6,1300.597000000001,1704120300
60,42639.5,42687.3,42617.6,42681.4,1054.545,1704121200
61,42681.3,42772.0,42666.6,42715.0,1150.6229999999998,1704122100
